Municipality,PercentageSmartMeter,ConsumptionPerContract
Águeda,99,261.87651
Albergaria-a-Velha,96,266.573
Anadia,87,186.76356
Arouca,78,146.51747
Aveiro,99,225.00767
Castelo de Paiva,99,129.16334
Espinho,99,150.80163
Estarreja,98,277.52741
Santa Maria da Feira,91,235.48073
Ílhavo,99,226.53765
Mealhada,98,155.37978
Murtosa,98,129.74627
Oliveira de Azeméis,87,362.45417
Oliveira do Bairro,99,265.05047
Ovar,98,224.56179
São João da Madeira,99,209.33506
Sever do Vouga,96,129.14431
Vagos,97,197.93717
Vale de Cambra,95,255.25127
Aljustrel,96,273.98824
Almodôvar,97,120.58603
Alvito,99,325.37462
Barrancos,98,157.07477
Beja,99,240.00294
Castro Verde,98,134.17102
Cuba,99,117.77389
Ferreira do Alentejo,99,657.89192
Mértola,98,70.57513
Moura,98,177.12937
Odemira,76,166.65632
Ourique,90,146.02102
Serpa,99,380.98112
Vidigueira,99,179.80924
Amares,95,145.81595
Barcelos,88,222.58366
Braga,93,205.26695
Cabeceiras de Basto,89,93.65045
Celorico de Basto,86,124.91032
Esposende,99,125.74353
Fafe,89,149.55612
Guimarães,95,265.61285
Póvoa de Lanhoso,94,151.62674
Terras de Bouro,99,113.88839
Vieira do Minho,89,101.90812
Vila Nova de Famalicão,99,298.18704
Vila Verde,83,146.80479
Vizela,99,196.65398
Alfândega da Fé,98,74.39031
Bragança,91,132.07625
Carrazeda de Ansiães,99,73.97053
Freixo de Espada À Cinta,97,66.12676
Macedo de Cavaleiros,94,83.74739
Miranda do douro,95,89.59912
Mirandela,98,106.16456
Mogadouro,95,75.99223
Torre de Moncorvo,98,72.29357
Vila Flor,98,82.61745
Vimioso,92,57.37637
Vinhais,97,62.80705
Belmonte,97,98.20971
Castelo Branco,88,156.20955
Covilhã,94,150.7889
Fundão,99,117.26175
Idanha-a-Nova,80,120.96131
Oleiros,79,68.35937
Penamacor,98,62.75225
Proença-a-Nova,90,74.49911
Sertã,88,93.78329
Vila de Rei,97,105.59302
Vila Velha de Ródão,98,100.72541
Arganil,67,91.76861
Cantanhede,90,148.07756
Coimbra,99,161.37629
Condeixa-a-Nova,99,182.13699
Figueira da Foz,84,115.67501
Góis,92,65.82601
Lousã,99,156.47019
Mira,99,147.21415
Miranda do Corvo,97,96.51759
Montemor-o-Velho,61,118.41501
Oliveira do Hospital,83,105.94461
Pampilhosa da Serra,99,58.57483
Penacova,83,89.88269
Penela,99,161.19767
Soure,96,149.70727
Tábua,66,102.26918
Vila Nova de Poiares,72,163.00431
Alandroal,80,206.53081
Arraiolos,84,191.25
Borba,73,158.77629
Estremoz,90,161.84786
Évora,99,253.37071
Montemor-o-Novo,99,204.84363
Mora,80,171.54053
Mourão,99,185.01507
Portel,92,161.85871
Redondo,98,215.35474
Reguengos de Monsaraz,97,181.90081
Vendas Novas,98,246.81867
Viana do Alentejo,99,186.32251
Vila Viçosa,99,237.84269
Albufeira,94,224.95334
Alcoutim,76,61.33602
Aljezur,79,120.2589
Castro Marim,80,146.40727
Faro,95,177.15837
Lagoa,98,221.63572
Lagos,91,156.13455
Loulé,90,203.57013
Monchique,78,129.34584
Olhão,90,130.64693
Portimão,96,135.74262
São Brás de Alportel,91,133.29623
Silves,90,161.5448
Tavira,88,129.38726
Vila do Bispo,79,155.33966
Vila Real de Santo António,84,106.54897
Aguiar da Beira,99,94.71343
Almeida,98,80.30737
Celorico da Beira,99,89.1496
Figueira de Castelo Rodrigo,98,80.10308
Fornos de Algodres,99,91.3908
Gouveia,99,83.44768
Guarda,92,137.20027
Manteigas,97,87.03185
Mêda,98,66.50447
Pinhel,86,83.92573
Sabugal,82,67.8713
Seia,89,102.0853
Trancoso,94,104.08987
Vila Nova de Foz Côa,92,83.51119
Alcobaça,93,219.55081
Alvaiázere,99,91.74285
Ansião,99,141.65881
Batalha,99,243.84864
Bombarral,99,141.08366
Caldas da Rainha,99,153.6568
Castanheira de Pêra,97,169.58146
Figueiró dos Vinhos,98,70.66171
Leiria,95,224.22514
Marinha Grande,99,361.49404
Nazaré,99,130.66197
Óbidos,99,222.03486
Pedrógão Grande,92,94.52995
Peniche,90,151.03682
Pombal,91,236.37948
Porto de Mós,99,202.28499
Alenquer,99,194.4439
Arruda dos Vinhos,99,166.97676
Azambuja,99,442.49851
Cadaval,88,136.36983
Cascais,96,147.10781
Lisboa,98,191.42653
Loures,97,178.80363
Lourinhã,99,132.75621
Mafra,94,173.82233
Oeiras,95,174.62611
Sintra,93,128.89168
Sobral de Monte Agraço,97,162.08195
Torres Vedras,91,194.44314
Vila Franca de Xira,96,149.6774
Amadora,98,108.37694
Odivelas,99,102.75266
Alter do Chão,98,113.67677
Arronches,85,173.86349
Avis,99,367.81318
Campo Maior,98,311.84324
Castelo de Vide,97,213.24991
Crato,98,107.54149
Elvas,92,226.19327
Fronteira,99,142.62878
Gavião,99,90.16516
Marvão,69,151.48088
Monforte,97,168.73572
Nisa,88,72.44682
Ponte de Sor,91,155.78961
Portalegre,98,151.70392
Sousel,99,220.55899
Amarante,78,119.30561
Baião,94,88.20502
Felgueiras,81,201.66078
Gondomar,86,126.1803
Lousada,96,150.62558
Maia,97,230.1449
Marco de Canaveses,84,166.24516
Matosinhos,95,178.12634
Paços de Ferreira,99,189.25963
Paredes,98,201.16107
Penafiel,93,175.19887
Porto,99,231.15572
Póvoa de Varzim,97,127.35344
Santo Tirso,91,421.49466
Valongo,98,171.25697
Vila do Conde,92,214.50695
Vila Nova de Gaia,94,163.75899
Trofa,99,346.11441
Abrantes,88,174.41962
Alcanena,95,244.7102
Almeirim,91,165.09373
Alpiarça,98,220.02556
Benavente,97,308.17823
Cartaxo,96,209.69235
Chamusca,97,263.02423
Constância,99,328.54364
Coruche,98,205.15661
Entroncamento,99,118.19415
Ferreira do Zêzere,98,98.81921
Golegã,99,326.26524
Mação,93,131.66782
Rio Maior,89,403.18184
Salvaterra de Magos,99,198.75286
Santarém,90,325.11358
Sardoal,94,95.75304
Tomar,86,123.48334
Torres Novas,90,224.99672
Vila Nova da Barquinha,99,156.84025
Ourém,95,181.76549
Alcácer do Sal,99,286.50559
Alcochete,99,225.79807
Almada,98,112.21313
Barreiro,99,100.15864
Grândola,99,211.23454
Moita,97,101.37786
Montijo,99,207.07995
Palmela,96,227.89257
Santiago do Cacém,95,157.55833
Seixal,91,124.89447
Sesimbra,99,121.66389
Setúbal,99,174.21708
Sines,98,404.52435
Arcos de Valdevez,95,127.84882
Caminha,98,89.03349
Melgaço,88,80.73699
Monção,96,141.01107
